,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
607,5.76,56.28509588,96.60764875,5.066,,5.471,4.993,,,5.54,,HD 44691,,RR Lyn,,,
608,,,,,,,,,,,,,,RRLyn,,,
609,10.8,38.72902066,303.34859315,1.985,,3.206,1.321,,,7.74,,HD 192443,,RS Cyg,,,
610,12.29,-6.70791111,267.55500833,6.858,,7.637,6.500,,,11.20,,HD 162214,,RS Oph,,,
611,10.86,30.40143818,76.95652603,7.621,,8.378,7.020,9.95,,10.36,,HD 240764,,RW Aur,,,
612,8.805,55.9632295,335.77923572,2.462,,3.090,2.027,,,6.516,,HD 212466,,RW Cep,,,
613,10.14,67.57738841,46.94061257,5.618,,6.243,5.435,,,9.00,,,,RX Cas,,,
614,,,,,,,,,,,,,,RXCas,,,
615,6.40,69.63428935,42.2312957,5.545,,5.707,5.473,,,6.26,,HD 17138,,RZ Cas,,,
616,1.24,11.96720878,152.09296244,1.658,1.5,1.665,1.62,1.4,,1.40,,HD 87901,,Regulus,,,
617,5.073,41.80457265,80.45173543,5.531,,5.437,5.581,,,5.200,,HD 34759,,Rho Aur,,,
618,10.08,83.03603417,33.01827458,7.939,,8.359,7.790,,,9.75,,,,SAO 349,,,
619,7.725,74.54257975,56.27967626,4.365,,5.233,4.216,,,6.731,,HD 22648,,SAO 4972,,,
620,9.57,47.86409056,307.62853,7.854,,8.058,7.624,,8.95,9.27,,,,SAO 49725,,,
621,9.45,48.68753389,353.45947958,8.252,,8.325,8.168,,,9.03,,,,SAO 53150,,,
622,9.28,79.26471417,246.34942625,9.169,,9.222,8.969,,,9.36,,,,SAO 8525,,,
623,10.08,83.03603417,33.01827458,7.939,,8.359,7.790,,,9.75,,,,SAO349,,,
624,9.57,47.86409056,307.62853,7.854,,8.058,7.624,,8.95,9.27,,,,SAO49725,,,
625,,65.59938889,114.32091667,,,,,,,11.2,,,,SN 2004dj,,,
626,,65.59938889,114.32091667,,,,,,,11.2,,,,SN2004dj,,,
627,,54.27366111,210.7738875,,,,,,,,,,,SN2011fe,,,
628,8.2,43.58607778,325.67835,8.36,,8.52,8.3,,11.07,12.1,,HD 206697,,SS Cyg,,,
629,9.65,37.93850909,343.42357229,6.823,,7.209,6.703,,,8.90,,HD 216598,,SW Lac,,,
630,9.67,54.89149249,2.67531886,6.583,,7.167,6.373,,,8.96,,HD 232121,,SX Cas,,,
631,7.26,62.33293757,61.95538446,6.100,,6.122,6.063,,6.82,6.93,,HD 25638,,SZ CAM,,,
632,7.26,62.33293757,61.95538446,6.100,,6.122,6.063,,6.82,6.93,,HD 25638,,SZ Cam,,,
633,8.45,68.49088996,317.38242039,-1.287,,-0.496,-1.824,,,7.37,,HD 202012,,T Cep,,,
634,10.03,31.02116701,272.2758771,3.314,,4.210,2.988,,,8.91,,HD 166382,,T Her,,,
635,7.750,63.90713751,233.4627377,6.281,,6.501,6.147,,,7.46,,HD 139319,,TW Dra,,,
636,,,,,,,,,,,,,,TW Dra B,,,
637,7.750,63.90713751,233.4627377,6.281,,6.501,6.147,,,7.46,,HD 139319,,TW DraB,,,
638,11.66,31.96229667,275.02244292,9.442,,9.678,9.322,10.633,,11.11,,,,TYC 2627-638-1,,,
639,10.50,48.99176222,51.61612042,8.422,,8.621,8.163,,,10.14,,,,TYC 3320-1861-1,,,
640,,,,,,,,,,,,,,TYC4000,,,
641,11.52,53.78403611,353.71698333,12.665,,12.502,12.726,12.26,,11.49,11.57,,12.47,TYC4000-216-1,12.13,,12.82
642,,,,,,,,,,,,,,TYC4406,,,
643,11.07,71.40589111,215.36610042,11.950,,11.848,12.017,,,11.39,11.17,,11.94,TYC4406-285-1,11.64,,12.21
644,9.56,47.56888333,275.54863542,,,,,,,9.32,,,,TZ Dra,,,
645,4.98,17.45690422,206.8155975,3.55,4.0,3.62,3.36,4.2,,4.49,,HD 120136,,Tau Boo,,,
646,,,,,,,,,,,,,,TauBoo,,,
647,4.036,31.35913227,233.2324256,,,,,,3.47,4.153,,HD 138749,,Theta Crb,,,
648,3.600,15.87088182,67.16558623,2.997,,2.994,2.880,,3.690,3.410,,HD 28319,,Theta2 Tau,,,
649,11.85,47.89419179,304.90248507,1.95,,3.33,1.16,,,8.77,,HD 193680,,U Cyg,,,
650,10.03,18.8924599,246.44779864,-0.233,,0.858,-0.634,,,8.50,,HD 148206,,U Her,,,
651,5.924,1.21054491,259.13215193,5.720,,5.656,5.739,,,5.903,,HD 156247,,U Oph,,,
652,6.49,19.61047841,289.70170366,6.262,,6.283,6.211,,,6.50,,HD 181182,,U Sge,,,
653,5.801,-26.82235988,331.15319403,6.381,,6.238,6.375,,5.16,5.952,,HD 209522,,UU PsA,,,
654,8.74,-7.50496653,119.81823069,7.190,,7.460,7.091,,,8.42,,HD 65607,,UX Mon,,,
655,,,,,,,,,,,,,,UZLyr,,,
656,4.643,-15.95501735,290.43176182,3.385,,4.153,2.624,,4.18,4.578,,HD 181616,,Ups Sgr,,,
657,6.98,3.76132737,293.40383037,,,,,,6.63,6.98,,HD 184279,,V 1294 Aql,,,
658,11.5,39.49723833,305.76505708,5.800,,6.979,4.679,,11.62,10.6,,,,V 1972 Cyg,,,
659,11.98,31.10558889,299.13141667,6.10,,7.096,5.379,,11.68,10.92,,,,V 2028 Cyg,,,
660,7.65,57.65180543,300.43973924,7.774,,7.732,7.742,,,7.70,,HD 190397,,V 2104 Cyg,,,
661,7.85,31.65703122,308.27130602,7.430,,7.456,7.279,,7.11,7.82,,HD 195907,,V 2123 Cyg,,,
662,7.880,17.96826756,295.7011467,7.146,,7.141,7.081,,7.360,7.780,,HD 186272,,V 341 Sge,,,
663,6.594,57.11399616,310.80701267,5.643,,5.617,5.621,,6.17,6.341,,HD 197770,,V 379 Cep,,,
664,5.622,40.59976051,297.65553032,5.757,,5.712,5.769,,4.86,5.680,,HD 187879,,V 380 Cyg,,,
665,16.04,45.77583333,315.540875,4.357,,5.704,3.166,11.38,,14.68,,,,V 407 Cyg,,,
666,8.39,68.18536286,324.23773373,7.811,,7.820,7.767,,,8.27,,HD 206135,,V 433 Cep,,,
667,9.02,-18.70755146,286.1997284,6.635,,7.090,6.425,,8.82,8.66,,HD 177291,,V 4409 Sgr,,,
668,8.45,35.38600132,301.5414517,6.848,,6.937,6.734,,7.89,8.16,,HD 190967,,V 448 Cyg,,,
669,,,,,,,,,,,,,,V 475 Sct?,,,
670,6.606,-6.96651395,102.88916284,5.093,,5.856,4.147,,6.28,6.583,,HD 50138,,V 743 Mon,,,
671,7.92,70.95650608,38.36082865,7.535,,7.614,7.415,,,7.91,,HD 15472,,V 788 Cas,,,
672,6.067,3.44440538,292.63801325,5.897,,5.960,5.814,,5.69,6.089,,HD 183656,,V 923 Aql,,,
673,5.360,-23.97809783,238.48276682,5.418,,5.437,5.365,,4.77,5.400,,HD 142184,,V1040 Sco,,,
674,10.3,44.25792778,314.72388333,,,,,,,,,,,V1057 Cyg,,,
675,6.325,54.97379118,294.6715988,4.840,5.4,4.979,4.772,5.6,,5.899,,HD 185912,,V1143 Cyg,,,
676,6.83,25.43954428,85.91274722,6.29,,6.389,6.014,,6.15,6.82,,HD 38010,,V1165 Tau,,,
677,14,2.27125,304.65841667,,,,,,,,,,,V1284 Aql,,,
678,6.98,3.76132737,293.40383037,,,,,,6.63,6.98,,HD 184279,,V1294 Aql,,,
679,,,,,,,,,,,,,,V1294-Aql,,,
680,6.98,3.76132737,293.40383037,,,,,,6.63,6.98,,HD 184279,,V1294Aql,,,
681,12.97,50.36243611,315.288375,,,,,,13.37,11.96,,,,V1331 Cyg,,,
682,6.399,7.90241483,297.57283096,,,,,,5.71,6.484,,HD 187567,,V1339 Aql,,,
683,8.27,36.42559883,300.92332375,,,,,,7.92,8.18,,HD 190467,,V1362 Cyg,,,
684,8.27,36.42559883,300.92332375,,,,,,7.92,8.18,,HD 190467,,V1362Cyg,,,
685,6.41,4.01194718,80.33045052,,,,,,,6.52,,HD 34959,,V1369 Ori,,,
686,7.14,2.1647131,82.20190252,7.495,,7.438,7.380,,,7.24,,HD 36012,,V1372 Ori,,,
687,7.55,9.22598823,82.92097738,6.999,,7.078,6.759,,7.32,7.51,,HD 36376,,V1374 Ori,,,
688,8.14,9.80761573,288.75597024,7.565,,7.564,7.481,,,7.99,,HD 180126,,V1448 Aql,,,
689,8.210,7.58822249,296.06605955,7.906,,7.963,7.808,,7.650,8.150,,HD 186456,,V1463 Aql,,,
690,7.138,29.40232861,297.17448513,6.263,,6.352,6.158,,6.82,7.012,,HD 187399,,V1507 Cyg,,,
691,6.582,33.43728268,297.21082562,6.034,,6.027,6.030,,5.99,6.468,,HD 187459,,V1765 Cyg,,,
692,6.582,33.43728268,297.21082562,6.034,,6.027,6.030,,5.99,6.468,,HD 187459,,V1765Cyg,,,
693,5.217,46.15577267,315.29553503,5.952,,5.860,5.993,,4.23,5.417,,HD 200310,,V1931 Cyg,,,
694,,,,,,,,,,,,,,V1972,,,
695,11.5,39.49723833,305.76505708,5.800,,6.979,4.679,,11.62,10.6,,,,V1972 Cyg,,,
696,11.98,31.10558889,299.13141667,6.10,,7.096,5.379,,11.68,10.92,,,,V2028 Cyg,,,
697,7.16,47.48117712,292.81818739,6.276,,6.317,6.244,,,6.88,,HD 184242,,V2083 Cyg,,,
698,7.16,47.48117712,292.81818739,6.276,,6.317,6.244,,,6.88,,HD 184242,,V2083Cyg,,,
699,7.65,57.65180543,300.43973924,7.774,,7.732,7.742,,,7.70,,HD 190397,,V2104 Cyg,,,
700,7.25,32.37983145,304.20075751,6.534,,6.620,6.357,,6.41,7.16,,HD 193009,,V2113 Cyg,,,
701,7.92,40.75905506,305.8256873,4.192,,4.637,4.002,,8,7.09,,HD 194279,,V2118 Cyg,,,
702,5.689,37.47644822,305.93487247,6.228,,6.174,6.165,,4.82,5.859,,HD 194335,,V2119 Cyg,,,
703,7.32,54.68420096,306.38671079,7.335,,7.300,7.233,,6.73,7.36,,HD 194883,,V2120 Cyg,,,
704,8.48,53.90610321,312.13655488,7.556,,7.674,7.345,,8.14,8.14,,HD 198512,,V2135 Cyg,,,
705,6.270,46.66133725,312.47768865,,,,,,,6.330,,HD 198625,,V2136 Cyg,,,
706,7.295,40.30002786,313.84629977,6.199,,6.344,5.877,,6.52,7.157,,HD 199356,,V2139 Cyg,,,
707,7.17,46.57858674,315.20774003,7.509,,7.454,7.553,,6.69,7.28,,HD 200449,,V2144 Cyg,,,
708,6.47,45.50255517,317.49429872,6.901,,6.798,6.915,,5.81,6.61,,HD 201733,,V2148 Cyg,,,
709,7.67,40.69724432,320.71312049,7.032,,7.143,6.906,,6.92,7.52,,HD 203731,,V2153 Cyg,,,
710,7.99,55.36673352,321.12640834,5.962,,6.207,5.631,,7.96,7.55,,HD 204116,,V2155 Cyg,,,
711,7.61,44.33812581,322.31185318,7.643,,7.654,7.524,,6.81,7.63,,HD 204722,,V2162 Cyg,,,
712,6.904,45.49418558,322.50372168,6.931,,6.902,6.928,,,6.944,,HD 204860,,V2163 Cyg,,,
713,8.13,29.74552613,323.93532197,7.787,,7.858,7.488,,7.25,8.16,,HD 205618,,V2166 Cyg,,,
714,6.426,48.66856498,329.2592696,6.710,,6.625,6.720,,,6.500,,HD 208727,,V2173 Cyg,,,
715,9.20,54.4848827,329.62400304,7.861,,7.977,7.697,,8.66,8.94,,HD 235679,,V2174 Cyg,,,
716,9.20,54.4848827,329.62400304,7.861,,7.977,7.697,,8.66,8.94,,HD 235679,,V2174 cyg,,,
717,9.32,40.87495836,305.79493412,6.079,,6.353,5.917,,9.29,8.59,,HD 229196,,V2245 Cyg,,,
718,6.381,2.18620241,259.05941952,5.522,,5.552,5.494,,,6.187,,HD 156208,,V2368 Oph,,,
719,8.97,-1.15004808,266.56328013,8.327,,8.396,8.276,,,8.84,,HD 161543,,V2385 Oph,,,
720,6.68,11.13055726,268.55903568,5.104,5.8,5.266,5.028,6.0,,6.26,,HD 163151,,V2388 Oph,,,
721,,29.86988889,299.639875,,,,,,,7.6,,,,V2468Cyg,,,
722,9.21,32.3205,295.75816667,,7.72,,,,9.02,9.03,,,,V2491 Cyg,,,
723,7.63,0.59570722,239.77398208,7.123,,7.134,7.065,,,7.49,,HD 143213,,V335 Ser,,,
724,7.63,0.59570722,239.77398208,7.123,,7.134,7.065,,,7.49,,HD 143213,,V335Ser,,,
725,7.880,17.96826756,295.7011467,7.146,,7.141,7.081,,7.360,7.780,,HD 186272,,V341 Sge,,,
726,7.02,51.8610013,335.09462876,7.702,,7.623,7.692,,6.11,6.98,,HD 212044,,V357 Lac,,,
727,7.680,39.2877014,311.99826973,5.006,,5.202,4.828,,8.080,6.990,,HD 198287,,V367 Cyg,,,
728,6.440,38.70784392,345.22811837,6.821,,6.700,6.845,,5.78,6.555,,HD 217543,,V378 And,,,
729,5.589,-14.4927725,114.01622321,5.50,,5.510,5.205,,4.87,5.656,,HD 60855,,V378 Pup,,,
730,6.594,57.11399616,310.80701267,5.643,,5.617,5.621,,6.17,6.341,,HD 197770,,V379 Cep,,,
731,6.594,57.11399616,310.80701267,5.643,,5.617,5.621,,6.17,6.341,,HD 197770,,V379 cep,,,
732,6.594,57.11399616,310.80701267,5.643,,5.617,5.621,,6.17,6.341,,HD 197770,,V379Cep,,,
733,7.73,68.16326775,315.40383185,,,,,,7.34,7.42,,HD 200775,,V380 Cep,,,
734,5.622,40.59976051,297.65553032,5.757,,5.712,5.769,,4.86,5.680,,HD 187879,,V380 Cyg,,,
735,7.836,27.71690622,297.7697412,7.469,,7.462,7.476,,7.24,7.761,,HD 187851,,V396 Vul,,,
736,7.54,73.17449577,0.84987508,7.068,,7.104,7.085,,,7.40,,HD 225093,,V397 Cep,,,
737,7.54,73.17449577,0.84987508,7.068,,7.104,7.085,,,7.40,,HD 225093,,V397Cep,,,
738,7.99,49.22101175,332.0885495,8.135,,8.033,8.104,,,8.01,,HD 210308,,V401 Lac,,,
739,7.99,49.22101175,332.0885495,8.135,,8.033,8.104,,,8.01,,HD 210308,,V401Lac,,,
740,6.692,44.84647979,332.31332913,6.735,,6.676,6.723,,6.44,6.729,,HD 210405,,V402 Lac,,,
741,5.484,-19.29028689,287.0695946,5.386,,5.392,5.313,,4.65,5.570,,HD 178175,,V4024 Sgr,,,
742,6.66,-25.25660449,277.34160933,6.480,,6.461,6.474,,5.98,6.59,,HD 170235,,V4031 Sgr,,,
743,16.04,45.77583333,315.540875,4.357,,5.704,3.166,11.38,,14.68,,,,V407 CYg,,,
744,16.04,45.77583333,315.540875,4.357,,5.704,3.166,11.38,,14.68,,,,V407 Cyg,,,
745,8.27,41.00289547,77.70084625,7.814,,7.911,7.641,,7.79,8.24,,HD 33232,,V414 Aur,,,
746,7.99,41.21520499,78.06039732,5.90,,6.373,5.621,,7.50,7.82,,HD 33461,,V415 Aur,,,
747,7.36,40.19353105,78.30555713,7.457,,7.440,7.485,,6.68,7.38,,HD 33604,,V416 Aur,,,
748,8.78,55.48874602,312.79161084,6.816,,6.981,6.655,,8.58,8.33,,HD 198895,,V417 Cep,,,
749,9.66,57.0619901,312.85048184,7.997,,8.162,7.743,,,9.34,,HD 239510,,V418 Cep,,,
750,7.58,37.67601002,80.64679769,6.507,,6.696,6.230,,6.79,7.45,,HD 34921,,V420 Aur,,,
751,9.01,59.76102848,318.68951538,7.437,,7.583,7.241,,8.53,8.66,,HD 239618,,V420 Cep,,,
752,6.45,-23.61778976,122.0806601,6.575,,6.562,6.465,,6.02,6.53,,HD 67698,,V420 Pup,,,
753,6.580,58.61148335,319.32829329,,,,,,6.12,6.432,,HD 203025,,V421 Cep,,,
754,8.02,43.5592867,343.94609641,7.614,,7.665,7.455,,7.55,7.97,,HD 216851,,V423 Lac,,,
755,6.501,34.68850909,49.00775459,5.652,,5.703,5.586,,6.65,6.243,,HD 20210,,V423 Per,,,
756,,,,,,,,,,,,,,V431,,,
757,12.67,-6.0770251,277.35705216,8.159,,9.309,6.208,,12.55,11.60,,,,V431 Sct,,,
758,,,,,,,,,,,,,,V431 Sct?,,,
759,8.90,58.14016822,324.24850021,7.478,,7.542,7.284,,8.79,8.53,,HD 239712,,V432 Cep,,,
760,8.39,68.18536286,324.23773373,7.811,,7.820,7.767,,,8.27,,HD 206135,,V433 Cep,,,
761,7.25,43.05959179,85.58277168,6.753,,6.814,6.593,,6.66,7.25,,HD 37657,,V434 Aur,,,
762,7.20,-19.75420491,271.38880675,6.093,,6.327,5.953,,,7.05,,HD 165202,,V4379 Sgr,,,
763,7.92,60.29766467,329.83195436,6.710,,6.848,6.486,,7.45,7.67,,HD 209145,,V439 Cep,,,
764,9.02,-18.70755146,286.1997284,6.635,,7.090,6.425,,8.82,8.66,,HD 177291,,V4409 Sgr,,,
765,7.192,46.58511185,91.16003621,7.044,,7.129,6.899,,6.44,7.290,,HD 40978,,V447 Aur,,,
766,7.99,-7.11060339,281.13891627,7.048,,7.141,6.805,,7.26,7.88,,HD 173219,,V447 Sct,,,
767,7.99,-7.11060339,281.13891627,7.048,,7.141,6.805,,7.26,7.88,,HD 173219,,V447Sct,,,
768,8.45,35.38600132,301.5414517,6.848,,6.937,6.734,,7.89,8.16,,HD 190967,,V448 Cyg,,,
769,8.45,35.38600132,301.5414517,6.848,,6.937,6.734,,7.89,8.16,,HD 190967,,V448Cyg,,,
770,8.578,22.71085126,300.18213945,5.59,6.68,6.07,5.54,7.126,9.241,7.648,,HD 189733A,,V452 Vul,,,
771,17.76,20.88127778,298.60254167,,,,,17.9,,15.96,,,,V458 Vul,,,
772,,21.25830556,297.03670833,,,,,,,7.2,,,,V459 Vul,,,
773,8.682,35.51020191,325.50451709,0.583,,1.802,0.270,,,5.992,,HD 206570,,V460 Cyg,,,
774,,-9.564125,282.40666667,,,,,,,8.4,,,,V475 Sct,,,
775,7.16,2.49927855,101.4582399,7.182,,7.147,7.119,,6.85,7.22,,HD 48914,,V505 Mon,,,
776,6.62,-14.60320345,298.2766072,,,,,,,6.48,,HD 187949,,V505 Sgr,,,
777,7.16,2.49927855,101.4582399,7.182,,7.147,7.119,,6.85,7.22,,HD 48914,,V505Mon,,,
778,6.175,37.94119683,291.90165132,6.183,,6.253,6.046,,5.46,6.294,,HD 183362,,V558 Lyr,,,
779,7.212,61.54966321,36.41711545,6.451,,6.448,6.419,,,7.016,,HD 14817,,V559 Cas,,,
780,7.212,61.54966321,36.41711545,6.451,,6.448,6.419,,,7.016,,HD 14817,,V559Cas,,,
781,6.517,35.45619543,310.59301391,6.914,,6.886,6.854,,5.82,6.671,,HD 197419,,V568 Cyg,,,
782,6.517,35.45619543,310.59301391,6.914,,6.886,6.854,,5.82,6.671,,HD 197419,,V568Cyg,,,
783,7.98,-8.59314928,120.43542554,5.376,,5.835,5.249,,,7.32,,HD 66095,,V635Mon,,,
784,4.79,-4.23923269,105.72823613,5.476,,5.389,5.498,,3.84,4.99,,HD 52918,,V637 Mon,,,
785,6.526,63.64052166,0.85714222,5.336,,5.410,5.269,,6.07,6.269,,HD 225094,,V639 Cas,,,
786,6.760,61.96294676,349.11271209,5.943,,6.005,5.973,,6.130,6.550,,HD 219634,,V649 Cas,,,
787,6.760,61.96294676,349.11271209,5.943,,6.005,5.973,,6.130,6.550,,HD 219634,,V649 cas,,,
788,6.760,61.96294676,349.11271209,5.943,,6.005,5.973,,6.130,6.550,,HD 219634,,V649Cas,,,
789,9.72,57.28552806,34.70007,8.497,,8.596,8.537,,,9.43,,,,V665 Per,,,
790,5.172,-6.70893821,91.05625598,,,,,,4.30,5.251,,HD 41335,,V696 Mon,,,
791,10.68,64.30323333,354.4304,10.049,,10.095,10.021,10.5,,10.50,,,,V731 Cep,,,
792,6.157,23.20437322,85.83125736,5.803,,5.771,5.703,,5.51,6.227,,HD 37967,,V731 Tau,,,
793,7.26,58.21182887,2.90477772,6.43,,6.490,6.332,,6.86,7.08,,HD 698,,V742 Cas,,,
794,6.98,5.08440633,102.9406358,6.535,,6.619,6.292,,6.22,6.92,,HD 50083,,V742 Mon,,,
795,7.26,58.21182887,2.90477772,6.43,,6.490,6.332,,6.86,7.08,,HD 698,,V742 cas,,,
796,6.606,-6.96651395,102.88916284,5.093,,5.856,4.147,,6.28,6.583,,HD 50138,,V743 Mon,,,
797,8.50,53.48087463,5.48618592,8.147,,8.152,8.142,,,8.43,,HD 1744,,V744 Cas,,,
798,6.790,48.3941555,267.51389913,6.913,,6.854,6.947,,6.380,6.890,,HD 162732,,V744 Her,,,
799,7.70,5.4340118,103.80687,8.425,,8.293,8.440,,,7.85,,HD 50868,,V744 Mon,,,
800,6.790,48.3941555,267.51389913,6.913,,6.854,6.947,,6.380,6.890,,HD 162732,,V744Her,,,
801,7.09,-2.47417256,105.90489728,7.615,,7.500,7.581,,,7.20,,HD 53085,,V749 Mon,,,
802,7.36,-10.45437235,106.10638371,6.22,,6.332,6.117,,6.81,7.04,,HD 53367,,V750 Mon,,,
803,7.71,-3.36830168,113.99081809,8.165,,8.062,8.119,,,7.83,,HD 60757,,V763 Mon,,,
804,6.930,57.63208145,19.3595516,6.299,,6.465,6.103,,6.06,6.891,,HD 7636,,V764 Cas,,,
805,9.81,61.79544512,25.50386334,7.349,,7.539,7.058,,9.68,9.29,,,,V771 Cas,,,
806,6.657,61.03823839,25.51212785,6.725,,6.656,6.727,,,6.685,,HD 10260,,V772 Cas,,,
807,6.657,61.03823839,25.51212785,6.725,,6.656,6.727,,,6.685,,HD 10260,,V772Cas,,,
808,6.320,57.53661487,26.0748516,5.766,,5.848,5.736,,6.390,6.190,,HD 10543,,V773Cas,,,
809,10.012,22.31425134,278.32399984,6.283,7.642,6.817,6.158,8.195,11.122,8.866,,HD 171314,,V774 Her,,,
810,7.08,59.27344999,28.92856102,6.33,,6.457,6.139,,6.22,7.02,,HD 11606,,V777 Cas,,,
811,8.25,64.02445046,33.80404098,6.995,,7.136,6.832,,7.84,7.90,,HD 13590,,V787 Cas,,,
812,8.96,61.65491578,46.36475637,8.327,,8.330,8.297,,,8.82,,HD 18915,,V799 Cas,,,
813,6.713,62.38459712,47.22574418,5.489,,5.609,5.255,,7.778,6.503,,HD 19243,,V801 Cas,,,
814,8.01,56.34822529,350.54360005,7.408,,7.445,7.286,,7.6,7.93,,HD 220300,,V813 Cas,,,
815,8.51,54.73539769,356.47941839,7.651,,7.791,7.434,,7.79,8.50,,HD 223036,,V817 Cas,,,
816,7.74,62.21409218,357.47133135,7.768,,7.736,7.669,,7.14,7.74,,HD 223501,,V818 Cas,,,
817,8.370,53.67217065,359.70489413,8.007,,7.978,7.956,,8.440,8.260,,HD 224557,,V821 Cas,,,
818,4.69,47.52095045,314.95648818,4.46,,4.657,4.345,,3.75,4.74,,HD 200120,,V832 Cyg,,,
819,15.8,-3.84752778,106.02020833,,,,,,,6.7,,,,V838 Mon,,,
820,11.93,47.24926389,291.24509167,9.382,10.412,9.742,9.278,,,11.27,,,,V850Cyg,,,
821,6.84,-1.50718202,85.23487683,7.424,,7.287,7.415,,5.97,6.98,,HD 37776,,V901 Ori,,,
822,8.74,13.93086776,92.11397541,8.861,,8.807,8.867,,,8.79,,HD 252248,,V917 Ori,,,
823,8.74,13.93086776,92.11397541,8.861,,8.807,8.867,,,8.79,,HD 252248,,V917Ori,,,
824,6.067,3.44440538,292.63801325,5.897,,5.960,5.814,,5.69,6.089,,HD 183656,,V923 Aql,,,
825,6.067,3.44440538,292.63801325,5.897,,5.960,5.814,,5.69,6.089,,HD 183656,,V923Aql,,,
826,6.370,19.50578511,270.11523862,6.566,,6.507,6.552,,5.960,6.430,,HD 164447,,V974 Her,,,
827,9.73,61.22758333,26.52554167,9.412,,9.646,9.043,11.11,,8.92,,,,V978 Cas,,,
828,7.14,24.69740699,276.94122219,6.999,,6.948,6.989,,,7.14,,HD 170314,,V994 Her,,,
829,5.69,-13.01389816,190.31646169,,,,,,5.79,5.27,,HD 110317J,,VV Crv,,,
830,,,,,,,,,,,,,,VVCrv,,,
831,0.03,38.78368896,279.23473479,-0.03,0.2,-0.18,0.13,0.1,,0.03,,HD 172167,,Vega,,,
832,,,,,,,,,,,,,,WEBDA 7,,,
833,7.89,-11.21022192,84.85454957,8.233,,8.137,8.241,,,7.97,,HD 37622,,WX Lep,,,
834,11.471,25.06381738,308.59117929,12.072,11.728,12.039,12.186,11.648,10.687,11.546,,HD 340611,,Wolf 1346,,,
835,6.840,31.04583507,58.84615479,6.073,,6.149,5.920,,6.090,6.720,,HD 24534,,X Per,,,
836,9.81,-6.26909847,265.98541341,3.487,,4.862,2.971,,10.51,8.95,,HD 161114,,XX Oph,,,
837,7.23,34.65763334,313.01490655,7.539,,7.416,7.563,,6.31,7.32,,HD 198846,,Y Cyg,,,
838,11.1,20.98925,273.64245833,8.134,,9.042,7.860,11.900,,,,,,YY Her,,,
839,11.88,48.8183218,353.4164623,5.289,,6.192,4.894,,,10.53,,HD 221650,,Z And,,,
840,2.595,-10.56709152,249.28974606,2.667,,2.533,2.684,,1.72,2.578,,HD 149757,,Zet Oph,,,
841,2.84,21.14254411,84.41118926,3.047,,3.001,2.808,,2.14,3.03,,HD 37202,,Zet Tau,,,
842,,,,,,,,,,,,,,ZetTau,,,
843,2.595,-10.56709152,249.28974606,2.667,,2.533,2.684,,1.72,2.578,,HD 149757,,Zeta Oph,,,
844,2.84,21.14254411,84.41118926,3.047,,3.001,2.808,,2.14,3.03,,HD 37202,,Zeta Tau,,,
845,3.640,64.37585053,211.09729148,3.633,,3.434,3.639,,3.520,3.680,,HD 123299,,alfa Dra,,,
846,0.91,-11.16131949,201.29824736,1.615,,1.461,1.694,,-0.19,1.04,,HD 116658,,alfa Vir,,,
847,1.19,19.18240916,213.91530029,-2.81,0.40,-2.25,-2.91,0.3,,-0.04,,HD 124897,,alp Boo,,,
848,2.244,26.71469278,233.67195002,2.39,2.2,2.25,2.21,2.2,,2.214,,HD 139006,,alp CrB,,,
849,3.640,64.37585053,211.09729148,3.633,,3.434,3.639,,3.520,3.680,,HD 123299,,alp Dra,,,
850,1.24,11.96720878,152.09296244,1.658,1.5,1.665,1.62,1.4,,1.40,,HD 87901,,alp Leo,,,
851,0.03,38.78368896,279.23473479,-0.03,0.2,-0.18,0.13,0.1,,0.03,,HD 172167,,alp Lyr,,,
852,2.27,7.407064,88.79293899,-4.01,,-2.99,-4.38,,4.38,0.42,,HD 39801,,alp Ori,,,
853,0.91,-11.16131949,201.29824736,1.615,,1.461,1.694,,-0.19,1.04,,HD 116658,,alp Vir,,,
854,0.99,8.8683212,297.6958273,0.102,0.6,0.313,0.102,0.8,,0.77,,HD 187642,,alpha Aql,,,
855,1.19,19.18240916,213.91530029,-2.81,0.40,-2.25,-2.91,0.3,,-0.04,,HD 124897,,alpha Boo,,,
856,-1.46,-16.71611587,101.28715535,-1.391,,-1.391,-1.390,,,-1.47,,HD 48915,,alpha CMa,,,
857,0.74,5.22498756,114.82549791,-0.666,0.9,-0.498,-0.658,0.7,,0.34,,HD 61421,,alpha CMi,,,
858,4.289,66.3426768,73.51254332,4.380,,4.243,4.242,,3.55,4.301,,HD 30614,,alpha Cam,,,
859,3.434,56.53733116,10.12683778,-0.210,,0.311,-0.303,,,2.252,,HD 3712,,alpha Cas,,,
860,2.244,26.71469278,233.67195002,2.39,2.2,2.25,2.21,2.2,,2.214,,HD 139006,,alpha CrB,,,
861,3.640,64.37585053,211.09729148,3.633,,3.434,3.639,,3.520,3.680,,HD 123299,,alpha Dra,,,
862,1.24,11.96720878,152.09296244,1.658,1.5,1.665,1.62,1.4,,1.40,,HD 87901,,alpha Leo,,,
863,0.03,38.78368896,279.23473479,-0.03,0.2,-0.18,0.13,0.1,,0.03,,HD 172167,,alpha Lyr,,,
