,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
396,9.53,46.27421877,315.73350287,8.907,,8.990,8.800,,,9.44,,,,HIP 103879,,,
397,10.35,57.8013188,324.80865045,8.827,,9.022,8.624,,,10.18,,,,HIP 106919,,,
398,10.03,58.24422263,325.63999401,8.592,,8.773,8.439,,9.7,9.76,,,,HIP 107179,,,
399,9.34,61.69380323,332.21490167,8.924,,8.871,8.942,,8.91,9.26,,,,HIP 109320,,,
400,10.43,67.16873781,358.05056463,8.787,,8.885,8.793,,,9.97,,,,HIP 117700,,,
401,9.05,72.46028096,358.7932277,8.353,,8.426,8.109,,,8.93,,,,HIP 117928,,,
402,10.95,66.43162317,359.39208649,8.546,,8.638,8.406,,,10.17,,,,HIP 118118,,,
403,11.32,61.19578441,359.53071603,10.338,,10.408,10.357,,10.81,11.08,,,,HIP 118163,,,
404,9.54,27.13219481,69.20101339,5.400,6.9,5.945,5.240,7.4,,8.42,,HD 283750,,HIP 21482,,,
405,9.400,64.11044253,10.75531257,8.745,,8.763,8.700,,,9.185,,,,HIP 3383,,,
406,9.856,17.89488048,109.63688864,9.312,9.544,9.389,9.294,9.628,9.962,9.698,,,,HIP 35389,,,
407,9.61,66.75705541,11.90918162,7.815,,7.887,7.718,,,9.10,,,,HIP 3709,,,
408,9.90,41.52180524,283.97840168,7.488,,7.788,7.432,,,9.13,,,,HIP 92922,,,
409,9.20,44.55740484,287.45625955,8.410,,8.458,8.382,,,8.95,,HD 179259,,HIP 94145,,,
410,10.095,40.0473231,289.14543137,7.999,8.9,8.285,7.935,9.1,,9.50,,,,HIP 94734,,,
411,9.43,50.6466187,289.18540695,8.304,,8.394,8.235,,,9.15,,HD 234852,,HIP 94743,,,
412,8.32,34.28887913,290.36177626,8.192,,8.163,8.183,,,8.31,,HD 182055,,HIP 95145,,,
413,9.54,50.93117308,293.23496959,8.001,,8.140,7.954,,,9.08,,HD 184659,,HIP 96146,,,
