#name,count
./v1931cyg,1
./v1143cyg,2
./gamcam,1
./alpcrb,49
./zetumi,1
./gamuma,1
./mueri,3
./ngc6910w5,1
./hip4849,4
./bper,60
./phiper,35
./v434aur,1
./hd6226,253
./galexj0321pl4727,61
./oygem,46
./hd171780,3
./betcygB,1
./mucep,1
./jupiter,5
./hd152877,2
./hd71072,1
./v417cep,1
./hip68145,4
./80uma,2
./v4379sgr,1
./galexj1717pl6757,3
./v2162cyg,2
./hr3135,5
./ctcam,1
./dellib,3
./hd24395,2
./hd98851,2
./rsoph,4
./sao8525,1
./hr1798,3
./16peg,1
./iqper,2
./v4031sgr,1
./lyaur,11
./64ser,2
./hd143418,11
./the2tau,15
./v505mon,19
./phicas,1
./hd82740,2
./v764cas,1
./hd116798,1
./17sex,1
./68her,43
./lohya,6
./55cyg,59
./ltcma,1
./27vul,72
./hd49888,1
./blpsc,2
./hr6906,1
./hd177702,2
./hip109320,1
./v509cas,11
./nugem,89
./piaqr,31
./hd193182,5
./v414aur,1
./v777cas,1
./hd186455,2
./tzdra,6
./hip35389,1
./zet2uma,1
./tyc3320-1861-1,1
./fscma,37
./tyc4000-216-1,22
./v850cyg,7
./hd86612,2
./hd205060,1
./31peg,3
./hd201522,1
./v2119cyg,1
./hr7401,4
./v649cas,35
./hip92306,4
./hd181362,2
./12aur,11
./gher,5
./hip80522,4
./v1369ori,1
./galexj1348pl4337,6
./v2153cyg,1
./9uma,1
./hd9709,1
./hd36971,4
./hd32328,8
./chiaur,20
./hd13867,1
./hd64566,2
./uzlyr,2
./3dra,1
./v1374ori,2
./v639cas,2
./hd64109,1
./hd18131,5
./alpori,1
./hd149382,1
./hd34302,1
./psiper,29
./25cyg,1
./galexj0716pl2319,2
./v554per,2
./hd7720,1
./hd38091,2
./hd207232,1
./sscyg,2
./v568cyg,6
./otgem,13
./ffcam,15
./hd13854,2
./hd199218,1
./tyc4406-285-1,13
./pcyg,16
./rwcep,2
./v396per,2
./the1oriC,6
./hr2142,16
./28cyg,6
./klcma,1
./hd135119,2
./v431sct,22
./hd174105,1
./4aql,5
./yyher,4
./epscap,1
./diher,9
./kxand,21
./hd121607,2
./hd45995,2
./105tau,1
./alpper,1
./v378and,1
./17lep,1
./hd12953,2
./hd246878,1
./v744mon,2
./v420aur,5
./hip101648,1
./betper,20
./hd217768,2
./delori,244
./v447aur,1
./hd214767,2
./hip76902,2
./gamcrb,3
./hd53416,1
./hd179259,18
./betmonB,1
./v635mon,1
./hd31617,8
./hd162867,2
./hd169033,1
./v821cas,1
./emcep,52
./v452vul,3
./ycyg,2
./omeori,13
./bd421552,2
./hd104573,2
./frcma,2
./hd81357,19
./v731tau,1
./hd176582,1
./v459vul,1
./v418cep,1
./v2163cyg,1
./hd179218,1
