48lib,15.96982469,-14.27935861
agdra,16.02805931,66.80281639
sao8525,16.42329500,79.26471389
chioph,16.45039858,-18.45625111
zetoph,16.61931606,-10.56709000
xxoph,17.73236033,-6.26909722
v2385oph,17.77088533,-1.15004528
iras17449+2320,17.78424361,23.32926667
hd162428,17.83367631,24.46807306
88her,17.83425953,48.39415167
rsoph,17.83700056,-6.70791111
66oph,18.00438850,4.36861528
v974her,18.00768258,19.50578556
v4379sgr,18.09258714,-19.75420667
yyher,18.24283611,20.98916667
myser,18.30163758,-12.24258528
hd168135,18.31408250,-12.45401389
hd168957,18.35771369,25.05677750
nwser,18.35788914,5.43572583
hd169033,18.38671186,-12.01475528
hip90252,18.41535519,16.08137472
v4031sgr,18.48944075,-25.25660694
v431sct,18.49046931,-6.07702194
hd171219,18.55495444,5.44553917
hd171406,18.55639972,30.89208889
hd171780,18.58708464,34.45802139
hd173292,18.73587681,11.21530861
v447sct,18.74259442,-7.11060306
hd173371,18.74886500,-0.37343389
cxdra,18.77863556,52.98796028
hd174105,18.80629194,15.39413444
betlyr,18.83466519,33.36266694
hd175511,18.86727950,59.66703528
hd174886,18.88735386,-10.22013139
hd175863,18.89574914,60.01787222
64ser,18.95460853,2.53534639
hd177648,19.07736236,23.32928222
v4409sgr,19.07998175,-18.70755333
iotlyr,19.12170253,36.10015722
v4024sgr,19.13797292,-19.29028889
hd178515,19.14967861,-3.34118583
hd179218,19.18645947,15.78767500
hd179343,19.20091019,2.62259111
v1448aql,19.25039797,9.80761833
hd180398,19.26610800,13.10818167
usge,19.31344669,19.61047667
upssgr,19.36211667,-15.95494444
chcyg,19.40918558,50.24142444
v558lyr,19.46010992,37.94119694
hd183261,19.46501797,20.24738333
v923aql,19.50920069,3.44440333
betcygB,19.51260983,27.96527639
v1294aql,19.56025531,3.76132750
11cyg,19.59675119,36.94453917
v341sge,19.71340975,17.96826556
v1463aql,19.73773736,7.58822167
hip97275,19.77043347,5.98813611
